PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
937,0,0,0,2,3.25,2.75,2.5,4.7,5,0.3,5,4,-1.01,4.6,7,2.43,4.2,3.7,-0.49
1030,0,0,0,3,3.25,2.25,3.5,5.5,4.5,-1.01,5.7,4,-1.73,5.5,7,1.48,5.2,2.7,-2.55
142,0,0,0,2,3.25,2.75,2.25,4.1,3.2,-0.99,4.6,4,-0.56,4.1,3,-1.09,3.5,1.7,-1.81
622,1,0,0,3,3.5,3.5,3.5,6.4,5.8,-0.61,6.5,7,0.5,6.5,6,-1.01,6.3,5,-1.26
382,0,0,0,2,3.5,3.25,2.5,4.9,5.2,0.22,5.3,8,3.24,4.8,3,-1.85,4.5,3,-1.51
831,0,0,0,3,3.25,3.25,3.25,5.8,5.7,-0.16,6,6,-0.47,5.9,4,-1.87,5.6,5.5,-0.08
272,0,0,0,2,2.5,2.25,2.25,3.5,2.3,-1.21,4,2,-1.99,3.5,3,-0.49,2.6,0.7,-1.97
1,0,0,0,2,3.5,2.5,2.75,5.1,4.9,-0.19,5.4,6,0.13,5,4,-1.04,4.7,4.5,-0.2
671,0,0,0,2,2.75,2.5,2.5,3.9,4.6,0.68,4.3,7,2.69,3.8,4,0.19,3.1,2.3,-0.78
947,0,0,0,2,2.75,2.75,2.5,4.4,3.7,-0.7,4.8,4,-0.8,4.3,4,-0.3,3.8,2,-1.83
96,0,0,0,2,2.75,2.75,2.5,4.1,4.1,-0.09,4.6,6,0.94,4.1,3,-1.09,3.5,2.3,-1.15
23,0,0,0,2,2.5,2.25,2.75,4.1,4.5,0.36,4.6,4,-0.56,4.1,6,1.41,3.5,3.7,0.19
846,0,0,0,3,2.75,2.25,3.25,5.1,3.5,-1.64,5.4,4,-1.37,5,4,-1.04,4.7,2,-2.7
396,0,0,0,2,2.75,2.5,2.75,4.4,3.5,-0.95,4.8,3,-1.8,4.3,4,-0.3,3.8,1.3,-2.49
